Customer Survey: Customer Survey,Survey Date,서비스접수번호,Customer info,신속하게 처리되었나요?,문제가 잘 해결되었나요?,담당직원의 응대태도는 친절했나요?,담당직원이 이해하기 쉽게 설명했나요?,전반적으로 만족하셨나요?,어떤 문제가 해결되지 않았나요?,얼마나 신속한 방문이 적정할지?,응대직원의 어떤 점이 불편했는지?,설명에서 어떤 점이 부족했는지?,전반적 서비스에서 개선되어야 할 부분은?,General Satisfaction Rate,서비스 담당자,Technical Service
CS-000951,2025. 05. 23 10:18:07,AS-0000154677,닥터리치과의원,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Choi John,Technical Service
CS-000933,2025. 03. 25 15:03:24,AS-0000151444,우리치과의원,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Choi John,Technical Service
CS-000929,2025. 03. 20 08:34:48,AS-0000151060,오희영치과,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Choi John,Technical Service
CS-000928,2025. 03. 19 11:24:19,AS-0000151149,서울정플란트치과의원,만족,매우만족,매우만족,매우만족,매우만족,,,,,없습니다,100,Choi John,Technical Service
CS-000914,2025. 02. 23 02:04:14,AS-0000149704,드림팩토리치과,만족,매우만족,매우만족,매우만족,매우만족,,,,,수리비가 조금 비싸용~~*^^*,100,Choi John,Technical Service
CS-000989,2025. 06. 23 01:50:27,AS-0000156135,진주미르치과병원,매우 만족,매우 만족,매우 만족,매우 만족,매우 만족,,,,,,100,Hong Plack,Technical Service
CS-000954,2025. 05. 21 10:11:17,AS-0000154570,진주미르치과병원,매우만족,매우불만족,매우만족,만족,매우불만족,,,,,,60,Hong Plack,Technical Service
CS-000947,2025. 05. 06 10:32:14,AS-0000154085,진주미르치과병원,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Hong Plack,Technical Service
CS-000916,2025. 02. 25 11:51:04,AS-0000149932,이인창치과의원_경남 창원시,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,교체부품의 원활한 공급이 필요로 함,100,Hong Plack,Technical Service
CS-000895,2025. 01. 17 18:51:24,AS-0000147179,손치과기공소,만족,만족,만족,만족,만족,,,,,없음,100,Hong Plack,Technical Service
CS-000892,2025. 01. 13 10:29:33,AS-0000147351,로하스치과의원_대구달서구,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Hong Plack,Technical Service
CS-000949,2025. 05. 07 05:30:22,AS-0000152519,정운호치과의원,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,문제 접수시의 반응,100,Jung Hoon,Technical Service
CS-000931,2025. 03. 23 18:23:13,AS-0000151707,엘에이이플란트치과의원,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Jung Hoon,Technical Service
CS-000927,2025. 03. 18 18:33:33,AS-0000150715,서울우이치과의원,매우 불만족,불만족,불만족,다소 불만족,불만족,배송이 너무 늦었어요,익일,회사에 재고가 없는건 회사 잘못이겠죠?,너무 짧은 설명,전혀 fast 하지 않습니다,0,Jung Hoon,Technical Service
CS-000925,2025. 03. 17 10:10:17,AS-0000150474,국군수도병원,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Jung Hoon,Technical Service
CS-000953,2025. 05. 21 13:12:14,AS-0000154475,굿모닝치과기공소-부산,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,지금처럼 하시면 되겠습니다.,100,Kang Alex,Technical Service
CS-000945,2025. 04. 30 12:27:59,AS-0000153864,힐스치과_부산 해운대구,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Kang Alex,Technical Service
CS-000944,2025. 04. 28 10:03:24,AS-0000153722,휘치과의원,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Kang Alex,Technical Service
CS-000940,2025. 04. 14 10:30:17,AS-0000150727,라온아트센터,만족,만족,매우만족,매우만족,만족,,,,,비싸요,100,Kang Alex,Technical Service
CS-000932,2025. 03. 25 10:02:31,AS-0000151550,한성치과기공소,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Kang Alex,Technical Service
CS-000930,2025. 03. 21 10:56:26,AS-0000151593,율하위치과,다소 불만족,매우만족,매우만족,매우만족,만족,,익일,,,,80,Kang Alex,Technical Service
CS-000922,2025. 03. 06 12:31:47,AS-0000150889,율하위치과,만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Kang Alex,Technical Service
CS-000898,2025. 01. 23 13:17:26,AS-0000148933,힐스치과_부산 해운대구,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Kang Alex,Technical Service
CS-000946,2025. 04. 30 15:51:32,AS-0000153827,512(오일이)치과기공소,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Lee Jay,Technical Service
CS-000941,2025. 04. 16 10:01:18,AS-0000152609,512(오일이)치과기공소,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Lee Jay,Technical Service
CS-000934,2025. 03. 27 17:10:27,AS-0000152104,유펜아이비치과의원,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,,100,Lee Jay,Technical Service
CS-000912,2025. 02. 19 17:40:57,AS-0000149891,우리치과의원,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,타사 경쟁 제품 대비 더 높은 내구도가 필요합니다 그러면 수리나 보수 필요가 확 줄 것이기 때문이죠,100,Lee Jay,Technical Service
CS-000955,2025. 05. 20 11:27:35,AS-0000154952,연세하이디치과의원,만족,만족,만족,매우만족,만족,,,,,,100,Yang Moon,Technical Service
CS-000919,2025. 02. 26 17:25:52,AS-0000150215,김앤이치과의원,매우만족,매우만족,매우만족,매우만족,매우만족,,,,,잘 모르겠어요^^,100,Yang Moon,Technical Service
CS-000899,2025. 01. 23 20:02:09,AS-0000149068,연세유라인치과의원_서울 송파구,만족,만족,매우만족,매우만족,매우만족,,,,,,100,Yang Moon,Technical Service